;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
2771;Leeds;Liverpool;4;3;H;1;2;A;10;14;7;8;18;18;7;7;1;4;0;0
2774;Newcastle;Ipswich;2;1;H;1;1;D;11;8;6;5;13;7;7;4;1;0;0;0
2775;Southampton;Chelsea;3;2;H;2;0;H;10;9;4;4;16;11;7;7;4;2;0;0
2776;Tottenham;Sunderland;2;1;H;1;0;H;11;12;6;3;18;9;8;7;1;0;1;0
2780;Aston Villa;Tottenham;2;0;H;1;0;H;11;3;6;2;15;13;10;1;0;3;0;0
2782;Ipswich;Charlton;2;0;H;0;0;D;30;7;13;4;8;12;13;3;0;2;0;0
2784;Man United;Middlesbrough;2;1;H;0;1;A;18;5;11;1;5;10;10;0;0;0;0;0
2786;West Ham;Man City;4;1;H;0;1;A;22;10;11;5;7;7;7;5;1;1;0;0
2788;Liverpool;Coventry;4;1;H;1;0;H;19;10;13;5;10;12;7;1;1;0;0;0
2789;Charlton;Chelsea;2;0;H;1;0;H;10;13;6;3;18;22;4;5;2;3;0;0
2790;Derby;Bradford;2;0;H;0;0;D;7;7;3;4;10;18;2;4;3;1;0;0
2791;Everton;Arsenal;2;0;H;0;0;D;4;4;2;2;20;12;3;5;3;1;0;0
2796;Southampton;Aston Villa;2;0;H;2;0;H;7;9;3;3;10;10;3;3;0;0;0;0
2797;Tottenham;Liverpool;2;1;H;2;1;H;6;9;4;4;11;13;6;5;1;2;0;0
2802;Everton;Chelsea;2;1;H;0;1;A;11;10;5;6;11;18;1;4;0;3;0;1
2806;Tottenham;Leicester;3;0;H;2;0;H;15;11;7;5;21;15;5;8;1;3;0;1
2807;Leeds;Arsenal;1;0;H;0;0;D;12;9;6;3;19;22;8;4;1;7;0;0
2808;Newcastle;Liverpool;2;1;H;1;0;H;9;13;6;9;17;15;5;11;3;2;0;0
2809;Arsenal;Southampton;1;0;H;0;0;D;24;7;12;5;14;15;16;8;0;2;0;0
2811;Bradford;Coventry;2;1;H;0;0;D;10;13;6;7;11;12;9;8;3;2;0;0
2813;Leicester;Leeds;3;1;H;3;0;H;8;12;5;4;10;7;0;6;1;2;0;1
2814;Liverpool;Charlton;3;0;H;1;0;H;13;7;3;2;10;9;6;5;1;1;0;0
2815;Man United;Tottenham;2;0;H;1;0;H;16;5;8;3;7;8;7;5;2;1;0;0
2816;West Ham;Middlesbrough;1;0;H;1;0;H;14;5;6;3;17;19;7;5;1;4;0;1
2817;Chelsea;Man City;2;1;H;2;0;H;9;11;7;5;9;12;7;10;2;0;0;0
2818;Sunderland;Everton;2;0;H;1;0;H;24;7;11;2;16;23;8;4;0;3;0;0
2819;Arsenal;Newcastle;5;0;H;2;0;H;15;3;10;1;10;11;5;2;0;3;0;0
2822;Chelsea;Derby;4;1;H;3;0;H;19;5;10;3;8;14;3;6;0;0;0;0
2823;Man City;Everton;5;0;H;3;0;H;13;14;9;4;12;12;5;13;0;1;0;0
2824;Southampton;Leeds;1;0;H;1;0;H;12;13;3;5;13;15;2;10;3;4;1;0
2825;Sunderland;Middlesbrough;1;0;H;0;0;D;8;8;5;5;22;21;5;3;1;3;0;0
2827;Coventry;Leicester;1;0;H;1;0;H;12;6;5;1;11;15;8;10;0;1;0;0
2830;Derby;Coventry;1;0;H;1;0;H;4;14;3;5;17;10;3;5;1;3;0;0
2832;Ipswich;Southampton;3;1;H;0;1;A;15;13;7;4;11;12;6;1;1;2;0;0
2833;Leeds;Sunderland;2;0;H;1;0;H;17;17;8;6;16;20;8;5;3;4;0;0
2834;Leicester;Charlton;3;1;H;1;1;D;9;12;5;8;11;16;5;5;1;2;0;0
2835;Middlesbrough;Chelsea;1;0;H;0;0;D;7;9;4;3;14;16;3;5;0;2;0;0
2836;Newcastle;Bradford;2;1;H;1;0;H;17;7;6;3;16;17;4;3;0;2;0;0
2840;Charlton;Everton;1;0;H;1;0;H;10;10;7;4;15;21;13;6;1;4;0;0
2841;Chelsea;Bradford;3;0;H;1;0;H;17;7;8;1;8;12;5;4;0;1;0;0
2842;Derby;Newcastle;2;0;H;1;0;H;8;8;5;4;17;16;2;3;1;2;0;0
2844;Leicester;West Ham;2;1;H;1;1;D;11;11;6;4;7;5;6;5;1;0;0;0
2845;Liverpool;Arsenal;4;0;H;1;0;H;12;12;6;6;18;14;6;3;2;0;0;0
2846;Man United;Ipswich;2;0;H;2;0;H;20;5;4;3;7;8;11;3;0;1;0;0
2847;Sunderland;Man City;1;0;H;1;0;H;9;9;5;3;14;18;8;6;2;2;0;0
2849;Arsenal;Leicester;6;1;H;1;0;H;27;2;15;2;14;11;14;0;0;0;0;0
2855;Middlesbrough;Liverpool;1;0;H;1;0;H;7;11;2;5;7;9;2;6;2;2;0;0
2856;Newcastle;Leeds;2;1;H;2;1;H;13;8;4;5;23;17;7;2;4;2;0;0
2857;West Ham;Charlton;5;0;H;3;0;H;17;12;10;8;19;11;5;8;1;0;0;0
2858;Southampton;Tottenham;2;0;H;2;0;H;17;7;6;2;17;13;4;4;1;3;0;0
2860;Ipswich;Tottenham;3;0;H;1;0;H;18;6;9;3;13;17;10;5;0;0;0;0
2864;Southampton;Derby;1;0;H;0;0;D;10;9;5;5;17;10;7;6;0;2;0;0
2865;Charlton;Arsenal;1;0;H;1;0;H;9;10;4;5;15;12;6;12;1;1;0;0
2866;Chelsea;Aston Villa;1;0;H;1;0;H;13;7;5;3;15;19;2;5;0;1;0;0
2868;Derby;Everton;1;0;H;1;0;H;7;9;3;6;9;18;5;11;2;3;0;0
2871;Liverpool;Southampton;2;1;H;1;1;D;16;7;8;3;8;5;15;2;0;1;0;0
2872;Man United;West Ham;3;1;H;2;0;H;25;9;12;5;17;13;8;2;1;2;0;0
2873;Sunderland;Ipswich;4;1;H;1;1;D;16;9;9;3;15;10;4;3;1;5;0;0
2874;Tottenham;Newcastle;4;2;H;3;1;H;16;9;10;4;11;10;9;6;0;2;1;2
