Arquivo: leitura.c
========================================

 ID | Token                  |  Linha | Coluna | Lexema
 25 | TKString               |     94 |     89 | "TKDuploMais"
  5 | TKVirgula              |     94 |    102 | ,
 25 | TKString               |     95 |      5 | "TKProd"
  5 | TKVirgula              |     95 |     13 | ,
 25 | TKString               |     95 |     25 | "TKChar"
  5 | TKVirgula              |     95 |     33 | ,
 25 | TKString               |     95 |     45 | "TKSub"
  5 | TKVirgula              |     95 |     52 | ,
 25 | TKString               |     95 |     65 | "TKAbreColchete"
  5 | TKVirgula              |     95 |     81 | ,
 25 | TKString               |     95 |     89 | "TKFechaColchete"
  5 | TKVirgula              |     95 |    106 | ,
 25 | TKString               |     96 |      5 | "TKAtribMais"
  5 | TKVirgula              |     96 |     18 | ,
 25 | TKString               |     96 |     25 | "TKDouble"
  5 | TKVirgula              |     96 |     35 | ,
 25 | TKString               |     96 |     45 | "TKCteInt"
  5 | TKVirgula              |     96 |     55 | ,
 25 | TKString               |     96 |     65 | "TKElse"
  5 | TKVirgula              |     96 |     73 | ,
 25 | TKString               |     96 |     89 | "TKIf"
  5 | TKVirgula              |     96 |     95 | ,
 25 | TKString               |     97 |      5 | "TKString"
  5 | TKVirgula              |     97 |     15 | ,
 25 | TKString               |     97 |     25 | "TKFimArquivo"
  5 | TKVirgula              |     97 |     39 | ,
 25 | TKString               |     97 |     45 | "TKWhile"
  5 | TKVirgula              |     97 |     54 | ,
 25 | TKString               |     97 |     65 | "TKDo"
  5 | TKVirgula              |     97 |     71 | ,
 25 | TKString               |     97 |     89 | "TKFor"
  5 | TKVirgula              |     97 |     96 | ,
 25 | TKString               |     98 |      5 | "TKSwitch"
  5 | TKVirgula              |     98 |     15 | ,
 25 | TKString               |     98 |     25 | "TKCase"
  5 | TKVirgula              |     98 |     33 | ,
 25 | TKString               |     98 |     45 | "TKDefault"
  5 | TKVirgula              |     98 |     56 | ,
 25 | TKString               |     98 |     65 | "TKReturn"
  5 | TKVirgula              |     98 |     75 | ,
 25 | TKString               |     98 |     89 | "TKBreak"
  5 | TKVirgula              |     98 |     98 | ,
 25 | TKString               |     99 |      5 | "TKContinue"
  5 | TKVirgula              |     99 |     17 | ,
 25 | TKString               |     99 |     25 | "TKSizeof"
  5 | TKVirgula              |     99 |     35 | ,
 25 | TKString               |     99 |     45 | "TKStruct"
  5 | TKVirgula              |     99 |     55 | ,
 25 | TKString               |     99 |     65 | "TKTypedef"
  5 | TKVirgula              |     99 |     76 | ,
 25 | TKString               |     99 |     89 | "TKUnsigned"
  5 | TKVirgula              |     99 |    101 | ,
 25 | TKString               |    100 |      5 | "TKSigned"
  5 | TKVirgula              |    100 |     15 | ,
 25 | TKString               |    100 |     25 | "TKLong"
  5 | TKVirgula              |    100 |     33 | ,
 25 | TKString               |    100 |     45 | "TKShort"
  5 | TKVirgula              |    100 |     54 | ,
 25 | TKString               |    100 |     65 | "TKConst"
  5 | TKVirgula              |    100 |     74 | ,
 25 | TKString               |    100 |     89 | "TKStatic"
  5 | TKVirgula              |    100 |     99 | ,
 25 | TKString               |    101 |      5 | "TKExtern"
  5 | TKVirgula              |    101 |     15 | ,
 25 | TKString               |    101 |     25 | "TKEnum"
  5 | TKVirgula              |    101 |     33 | ,
 25 | TKString               |    101 |     45 | "TKUnion"
  5 | TKVirgula              |    101 |     54 | ,
 25 | TKString               |    101 |     65 | "TKGoto"
  5 | TKVirgula              |    101 |     73 | ,
 25 | TKString               |    101 |     89 | "TKVolatile"
  5 | TKVirgula              |    101 |    101 | ,
 25 | TKString               |    102 |      5 | "TKRegister"
  5 | TKVirgula              |    102 |     17 | ,
 25 | TKString               |    102 |     25 | "TKAuto"
  5 | TKVirgula              |    102 |     33 | ,
 25 | TKString               |    102 |     45 | "TKDiv"
  5 | TKVirgula              |    102 |     52 | ,
 25 | TKString               |    102 |     65 | "TKMod"
  5 | TKVirgula              |    102 |     72 | ,
 25 | TKString               |    102 |     89 | "TKDuploMenos"
  5 | TKVirgula              |    102 |    103 | ,
 25 | TKString               |    103 |      5 | "TKAtribSub"
  5 | TKVirgula              |    103 |     17 | ,
 25 | TKString               |    103 |     25 | "TKAtribProd"
  5 | TKVirgula              |    103 |     38 | ,
 25 | TKString               |    103 |     45 | "TKAtribDiv"
  5 | TKVirgula              |    103 |     57 | ,
 25 | TKString               |    103 |     65 | "TKAtribMod"
  5 | TKVirgula              |    103 |     77 | ,
 25 | TKString               |    103 |     89 | "TKAtribAndBit"
  5 | TKVirgula              |    103 |    104 | ,
 25 | TKString               |    104 |      5 | "TKAtribOrBit"
  5 | TKVirgula              |    104 |     19 | ,
 25 | TKString               |    104 |     25 | "TKAtribXorBit"
  5 | TKVirgula              |    104 |     40 | ,
 25 | TKString               |    104 |     45 | "TKAtribShiftLeft"
  5 | TKVirgula              |    104 |     63 | ,
 25 | TKString               |    104 |     65 | "TKAtribShiftRight"
  5 | TKVirgula              |    104 |     84 | ,
 25 | TKString               |    104 |     89 | "TKIgual"
  5 | TKVirgula              |    104 |     98 | ,
 25 | TKString               |    105 |      5 | "TKDiferente"
  5 | TKVirgula              |    105 |     18 | ,
 25 | TKString               |    105 |     25 | "TKMenor"
  5 | TKVirgula              |    105 |     34 | ,
 25 | TKString               |    105 |     45 | "TKMaior"
  5 | TKVirgula              |    105 |     54 | ,
 25 | TKString               |    105 |     65 | "TKMenorIgual"
  5 | TKVirgula              |    105 |     79 | ,
 25 | TKString               |    105 |     89 | "TKMaiorIgual"
  5 | TKVirgula              |    105 |    103 | ,
 25 | TKString               |    106 |      5 | "TKE"
  5 | TKVirgula              |    106 |     10 | ,
 25 | TKString               |    106 |     25 | "TKOu"
  5 | TKVirgula              |    106 |     31 | ,
 25 | TKString               |    106 |     45 | "TKNao"
  5 | TKVirgula              |    106 |     52 | ,
 25 | TKString               |    106 |     65 | "TKAndBit"
  5 | TKVirgula              |    106 |     75 | ,
 25 | TKString               |    106 |     89 | "TKOrBit"
  5 | TKVirgula              |    106 |     98 | ,
 25 | TKString               |    107 |      5 | "TKXorBit"
  5 | TKVirgula              |    107 |     15 | ,
 25 | TKString               |    107 |     25 | "TKNotBit"
  5 | TKVirgula              |    107 |     35 | ,
 25 | TKString               |    107 |     45 | "TKShiftLeft"
  5 | TKVirgula              |    107 |     58 | ,
 25 | TKString               |    107 |     65 | "TKShiftRight"
  5 | TKVirgula              |    107 |     79 | ,
 25 | TKString               |    107 |     89 | "TKSeta"
  5 | TKVirgula              |    107 |     97 | ,
 25 | TKString               |    108 |      5 | "TKPonto"
  5 | TKVirgula              |    108 |     14 | ,
 25 | TKString               |    108 |     25 | "TKInterrogacao"
  5 | TKVirgula              |    108 |     41 | ,
 25 | TKString               |    108 |     45 | "TKCteFloat"
  5 | TKVirgula              |    108 |     57 | ,
 25 | TKString               |    108 |     65 | "TKCteChar"
  5 | TKVirgula              |    108 |     76 | ,
 25 | TKString               |    108 |     89 | "TKHash"
 12 | TKFechaChaves          |    109 |      1 | }
 10 | TKPontoEVirgula        |    109 |      2 | ;
  3 | TKInt                  |    110 |      1 | int
  1 | TKId                   |    110 |      5 | tk
 10 | TKPontoEVirgula        |    110 |      7 | ;
 16 | TKChar                 |    111 |      1 | char
  1 | TKId                   |    111 |      6 | lex
 18 | TKAbreColchete         |    111 |      9 | [
 22 | TKCteInt               |    111 |     10 | 520
 19 | TKFechaColchete        |    111 |     13 | ]
 10 | TKPontoEVirgula        |    111 |     14 | ;
  3 | TKInt                  |    112 |      1 | int
  1 | TKId                   |    112 |      5 | lin
  9 | TKAtrib                |    112 |      9 | =
 22 | TKCteInt               |    112 |     11 | 1
 10 | TKPontoEVirgula        |    112 |     12 | ;
 10 | TKPontoEVirgula        |    112 |     29 | /
  3 | TKInt                  |    113 |      1 | int
  1 | TKId                   |    113 |      5 | col
  9 | TKAtrib                |    113 |      9 | =
 22 | TKCteInt               |    113 |     11 | 0
 10 | TKPontoEVirgula        |    113 |     12 | ;
 10 | TKPontoEVirgula        |    113 |     29 | /
  3 | TKInt                  |    114 |      1 | int
  1 | TKId                   |    114 |      5 | tk_lin
  5 | TKVirgula              |    114 |     11 | ,
  1 | TKId                   |    114 |     13 | tk_col
 10 | TKPontoEVirgula        |    114 |     19 | ;
  1 | TKId                   |    115 |      1 | FILE
 15 | TKProd                 |    115 |      6 | *
  1 | TKId                   |    115 |      7 | arqin
 10 | TKPontoEVirgula        |    115 |     12 | ;
  1 | TKId                   |    116 |      1 | FILE
 15 | TKProd                 |    116 |      6 | *
  1 | TKId                   |    116 |      7 | arqout
 10 | TKPontoEVirgula        |    116 |     13 | ;
 16 | TKChar                 |    117 |      1 | char
  1 | TKId                   |    117 |      6 | c
 10 | TKPontoEVirgula        |    117 |      7 | ;
 10 | TKPontoEVirgula        |    117 |     29 | /
 37 | TKStruct               |    119 |      1 | struct
  1 | TKId                   |    119 |      8 | pal_res
 11 | TKAbreChaves           |    119 |     16 | {
 16 | TKChar                 |    119 |     18 | char
  1 | TKId                   |    119 |     23 | palavra
 18 | TKAbreColchete         |    119 |     30 | [
 22 | TKCteInt               |    119 |     31 | 20
 19 | TKFechaColchete        |    119 |     33 | ]
 10 | TKPontoEVirgula        |    119 |     34 | ;
  3 | TKInt                  |    119 |     36 | int
  1 | TKId                   |    119 |     40 | tk
 10 | TKPontoEVirgula        |    119 |     42 | ;
 12 | TKFechaChaves          |    119 |     44 | }
 10 | TKPontoEVirgula        |    119 |     45 | ;
 37 | TKStruct               |    120 |      1 | struct
  1 | TKId                   |    120 |      8 | pal_res
  1 | TKId                   |    120 |     16 | lista_pal
 18 | TKAbreColchete         |    120 |     25 | [
 19 | TKFechaColchete        |    120 |     26 | ]
  9 | TKAtrib                |    120 |     28 | =
 11 | TKAbreChaves           |    120 |     30 | {
 11 | TKAbreChaves           |    121 |      5 | {
 25 | TKString               |    121 |      6 | "void"
  5 | TKVirgula              |    121 |     12 | ,
  1 | TKId                   |    121 |     18 | TKVoid
 12 | TKFechaChaves          |    121 |     24 | }
  5 | TKVirgula              |    121 |     25 | ,
